country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","23-06-2026 16:00:00",17.336318,76.847397,OZONE,15,15,15
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","23-06-2026 16:00:00",14.816666,74.141003,PM2.5,NA,NA,NA
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","23-06-2026 16:00:00",14.816666,74.141003,SO2,NA,NA,NA
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","23-06-2026 16:00:00",15.34763,76.181767,PM2.5,NA,NA,NA
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","23-06-2026 16:00:00",15.34763,76.181767,NH3,1,2,2
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","23-06-2026 16:00:00",15.34763,76.181767,SO2,16,18,17
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","23-06-2026 16:00:00",12.415911,75.73505,PM2.5,2,20,11
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","23-06-2026 16:00:00",12.88925,74.853,SO2,NA,NA,NA
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","23-06-2026 16:00:00",12.733409,77.298051,PM2.5,2,37,22
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","23-06-2026 16:00:00",12.733409,77.298051,SO2,4,17,14
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","23-06-2026 16:00:00",12.920984,77.584908,NO2,5,9,7
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","23-06-2026 16:00:00",12.920984,77.584908,NH3,1,2,1
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","23-06-2026 16:00:00",12.920984,77.584908,SO2,20,31,24
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","23-06-2026 16:00:00",12.938539,77.5901,PM2.5,NA,NA,NA
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","23-06-2026 16:00:00",13.428828,77.731418,OZONE,23,30,26
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","23-06-2026 16:00:00",13.328028,75.797056,PM2.5,21,45,29
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","23-06-2026 16:00:00",13.328028,75.797056,NH3,2,3,3
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","23-06-2026 16:00:00",13.328028,75.797056,CO,12,27,17
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","23-06-2026 16:00:00",13.328028,75.797056,OZONE,11,42,35
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","23-06-2026 16:00:00",15.459706,75.008381,SO2,5,8,7
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","23-06-2026 16:00:00",15.3714823,75.1160168,NO2,7,11,7
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","23-06-2026 16:00:00",22.410802,73.097923,OZONE,NA,NA,NA
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","23-06-2026 16:00:00",22.248853,70.776774,NO2,57,71,63
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","23-06-2026 16:00:00",22.248853,70.776774,OZONE,6,8,7
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","23-06-2026 16:00:00",21.217779,72.834787,NO2,14,39,25
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","23-06-2026 16:00:00",21.217779,72.834787,OZONE,7,8,7
India,Gujarat,Surat,"Science Center, Surat - SMC","23-06-2026 16:00:00",21.170046,72.795405,NO2,2,4,3
India,Gujarat,Surat,"Science Center, Surat - SMC","23-06-2026 16:00:00",21.170046,72.795405,NH3,NA,NA,NA
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","23-06-2026 16:00:00",22.320153,73.216285,NH3,2,3,2
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","23-06-2026 16:00:00",22.320153,73.216285,OZONE,3,5,4
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","23-06-2026 16:00:00",20.362421,72.918013,SO2,13,18,17
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","23-06-2026 16:00:00",22.969611,72.6435,NH3,2,2,2
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","23-06-2026 16:00:00",28.422681,77.148944,SO2,NA,NA,NA
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IITM","23-06-2026 16:00:00",28.422681,77.148944,OZONE,49,111,77
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","23-06-2026 16:00:00",28.4501238,77.0263051,CO,46,65,58
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","23-06-2026 16:00:00",28.4227,77.0667,SO2,4,7,6
